key,locaties,db_veld,categorie,opmerking
Mout Type 10 Kleur,Recept-voorblad!E39,"recipe_ingredients (rol=hoofdmout, volgorde=10).kleur_ebc",ingrediënt-rij,
Mout Type 2,Recept-voorblad!A31,"recipe_ingredients (rol=hoofdmout, volgorde=2).ingredient_id (naam)",ingrediënt-rij,
Mout Type 2 Gewicht,Recept-voorblad!D31,"recipe_ingredients (rol=hoofdmout, volgorde=2).hoeveelheid",ingrediënt-rij,
Mout Type 2 Kleur,Recept-voorblad!E31,"recipe_ingredients (rol=hoofdmout, volgorde=2).kleur_ebc",ingrediënt-rij,
Mout Type 3,Recept-voorblad!A32,"recipe_ingredients (rol=hoofdmout, volgorde=3).ingredient_id (naam)",ingrediënt-rij,
Mout Type 3 Gewicht,Recept-voorblad!D32,"recipe_ingredients (rol=hoofdmout, volgorde=3).hoeveelheid",ingrediënt-rij,
Mout Type 3 Kleur,Recept-voorblad!E32,"recipe_ingredients (rol=hoofdmout, volgorde=3).kleur_ebc",ingrediënt-rij,
Mout Type 4,Recept-voorblad!A33,"recipe_ingredients (rol=hoofdmout, volgorde=4).ingredient_id (naam)",ingrediënt-rij,
Mout Type 4 Gewicht,Recept-voorblad!D33,"recipe_ingredients (rol=hoofdmout, volgorde=4).hoeveelheid",ingrediënt-rij,
Mout Type 4 Kleur,Recept-voorblad!E33,"recipe_ingredients (rol=hoofdmout, volgorde=4).kleur_ebc",ingrediënt-rij,
Mout Type 5,Recept-voorblad!A34,"recipe_ingredients (rol=hoofdmout, volgorde=5).ingredient_id (naam)",ingrediënt-rij,
Mout Type 5 Gewicht,Recept-voorblad!D34,"recipe_ingredients (rol=hoofdmout, volgorde=5).hoeveelheid",ingrediënt-rij,
Mout Type 5 Kleur,Recept-voorblad!E34,"recipe_ingredients (rol=hoofdmout, volgorde=5).kleur_ebc",ingrediënt-rij,
Mout Type 6,Recept-voorblad!A35,"recipe_ingredients (rol=hoofdmout, volgorde=6).ingredient_id (naam)",ingrediënt-rij,
Mout Type 6 Gewicht,Recept-voorblad!D35,"recipe_ingredients (rol=hoofdmout, volgorde=6).hoeveelheid",ingrediënt-rij,
Mout Type 6 Kleur,Recept-voorblad!E35,"recipe_ingredients (rol=hoofdmout, volgorde=6).kleur_ebc",ingrediënt-rij,
Mout Type 7,Recept-voorblad!A36,"recipe_ingredients (rol=hoofdmout, volgorde=7).ingredient_id (naam)",ingrediënt-rij,
Mout Type 7 Gewicht,Recept-voorblad!D36,"recipe_ingredients (rol=hoofdmout, volgorde=7).hoeveelheid",ingrediënt-rij,
Mout Type 7 Kleur,Recept-voorblad!E36,"recipe_ingredients (rol=hoofdmout, volgorde=7).kleur_ebc",ingrediënt-rij,
Mout Type 8,Recept-voorblad!A37,"recipe_ingredients (rol=hoofdmout, volgorde=8).ingredient_id (naam)",ingrediënt-rij,
Mout Type 8 Gewicht,Recept-voorblad!D37,"recipe_ingredients (rol=hoofdmout, volgorde=8).hoeveelheid",ingrediënt-rij,
Mout Type 8 Kleur,Recept-voorblad!E37,"recipe_ingredients (rol=hoofdmout, volgorde=8).kleur_ebc",ingrediënt-rij,
Mout Type 9,Recept-voorblad!A38,"recipe_ingredients (rol=hoofdmout, volgorde=9).ingredient_id (naam)",ingrediënt-rij,
Mout Type 9 Gewicht,Recept-voorblad!D38,"recipe_ingredients (rol=hoofdmout, volgorde=9).hoeveelheid",ingrediënt-rij,
Mout Type 9 Kleur,Recept-voorblad!E38,"recipe_ingredients (rol=hoofdmout, volgorde=9).kleur_ebc",ingrediënt-rij,
Na (water),Recept-voorblad!E97,recipe_water.na,water,
Naam special bin storting / Naam recept Braukon,Brouwen!F9; Brouwen!F11,recipe_brouwspecificaties.naam_special_bin,brouwspecificatie,
Origineel extract +/-,Recept-voorblad!E12; Recept-voorblad!E12,recipe_specificaties.origineel_extract_tol,tolerantie,
"Origineel extract Spec,",Recept-voorblad!F12; Recept-voorblad!F12,recipe_specificaties.origineel_extract,spec-waarde,
Pasteurisatie +/-,Recept-voorblad!L24; Recept-voorblad!L24,recipe_fermentatie.pasteurisatie_tol,tolerantie,
"Pasteurisatie Spec,",Recept-voorblad!M24; Recept-voorblad!M24,recipe_fermentatie.pasteurisatie,spec-waarde,
Pitching Temp +/-,Recept-voorblad!E21; Recept-voorblad!E21,recipe_fermentatie.pitching_temp_tol,tolerantie,
"Pitching Temp Spec,",Recept-voorblad!F21; Recept-voorblad!F21,recipe_fermentatie.pitching_temp,spec-waarde,parser-glitch opgelost: is gewoon Pitching Temp
Ratio CL:SO4 (water),Recept-voorblad!M97,recipe_water.ratio_cl_so4,water,
Receptnaam Software / Recept nummer Braukon,Brouwen!F8; Brouwen!F9,recipe_brouwspecificaties.recept_naam_software,brouwspecificatie,
Rest extract +/-,Recept-voorblad!E13; Recept-voorblad!E13,recipe_specificaties.rest_extract_tol,tolerantie,
"Rest extract Spec,",Recept-voorblad!F13; Recept-voorblad!F13,recipe_specificaties.rest_extract,spec-waarde,
Revisienummer 1,Recept-voorblad!A101,"recipe_revisies (rij 1, meest recent eerst).versie_major + ""."" + versie_minor",revisiehistorie,
Revisienummer 2,Recept-voorblad!A102,"recipe_revisies (rij 2, meest recent eerst).versie_major + ""."" + versie_minor",revisiehistorie,
Revisienummer 3,Recept-voorblad!A103,"recipe_revisies (rij 3, meest recent eerst).versie_major + ""."" + versie_minor",revisiehistorie,
Revisienummer 4,Recept-voorblad!A104,"recipe_revisies (rij 4, meest recent eerst).versie_major + ""."" + versie_minor",revisiehistorie,
SO4 (water),Recept-voorblad!J97,recipe_water.so4,water,
Stamwort correctie brouwhuis,Brouwen!N8,recipe_brouwspecificaties.stamwort_correctie_brouwhuis,brouwspecificatie,
"T release, +/-",Recept-voorblad!E23; Recept-voorblad!E23,recipe_fermentatie.t_release_tol,tolerantie,
"T release, Spec,",Recept-voorblad!F23; Recept-voorblad!F23,recipe_fermentatie.t_release,spec-waarde,
THT blik,Afvullen!C11,recipe_verpakking.tht_blik_maanden,verpakking,
THT fles,Afvullen!C10,recipe_verpakking.tht_fles_maanden,verpakking,
THT vat,Afvullen!C12,recipe_verpakking.tht_vat_maanden,verpakking,
"Temp, Dry, Warm, +/-",Recept-voorblad!E24; Recept-voorblad!E24,recipe_fermentatie.temp_dry_warm_tol,tolerantie,
"Temp, Dry, Warm, Spec,",Recept-voorblad!F24; Recept-voorblad!F24,recipe_fermentatie.temp_dry_warm,spec-waarde,
Toegiften Brouwers 1 Wanneer,Recept-voorblad!I73,"recipe_ingredients (rol=toegift_brouwerij, volgorde=1).tijdstip",ingrediënt-rij,
Toegiften Brouwers 1 hoeveelheid,Recept-voorblad!E73,"recipe_ingredients (rol=toegift_brouwerij, volgorde=1).hoeveelheid",ingrediënt-rij,
